1:	train_loss: 130176.8420	val_loss: 39333.5902
2:	train_loss: 23701.5736	val_loss: 14129.7141
3:	train_loss: 10408.0069	val_loss: 7497.4805
4:	train_loss: 6265.0385	val_loss: 5187.6116
5:	train_loss: 4656.6063	val_loss: 4126.2803
6:	train_loss: 3761.1818	val_loss: 3435.0661
7:	train_loss: 3198.6889	val_loss: 2998.1860
8:	train_loss: 2805.8875	val_loss: 2636.3293
9:	train_loss: 2522.3744	val_loss: 2396.3872
10:	train_loss: 2296.3607	val_loss: 2266.0851
11:	train_loss: 2118.8155	val_loss: 2028.7056
12:	train_loss: 1990.3206	val_loss: 1912.7967
13:	train_loss: 1880.4124	val_loss: 1905.5816
14:	train_loss: 1785.3443	val_loss: 1750.2795
15:	train_loss: 1701.8264	val_loss: 1730.9389
16:	train_loss: 1640.6444	val_loss: 1661.2203
17:	train_loss: 1577.6434	val_loss: 1599.3179
18:	train_loss: 1534.1190	val_loss: 1579.3104
19:	train_loss: 1471.0253	val_loss: 1455.9951
20:	train_loss: 1438.5590	val_loss: 1554.0545
21:	train_loss: 1397.0306	val_loss: 1492.9814
22:	train_loss: 1368.9834	val_loss: 1377.2591
23:	train_loss: 1327.4395	val_loss: 1569.4703
24:	train_loss: 1302.4541	val_loss: 1349.1156
25:	train_loss: 1274.4873	val_loss: 2152.4720
26:	train_loss: 1249.7237	val_loss: 1263.5443
27:	train_loss: 1231.9807	val_loss: 1245.3655
28:	train_loss: 1193.2885	val_loss: 1422.3146
29:	train_loss: 1177.9289	val_loss: 1248.0608
30:	train_loss: 1164.8736	val_loss: 1227.2917
31:	train_loss: 1139.6563	val_loss: 1196.2392
32:	train_loss: 1123.4265	val_loss: 1148.4229
33:	train_loss: 1100.4789	val_loss: 1154.7372
34:	train_loss: 1093.0860	val_loss: 1154.2547
35:	train_loss: 1073.6739	val_loss: 1130.2896
36:	train_loss: 1063.1558	val_loss: 1188.3718
37:	train_loss: 1046.4802	val_loss: 1085.8960
38:	train_loss: 1031.3087	val_loss: 1138.5134
39:	train_loss: 1024.2267	val_loss: 1066.7413
40:	train_loss: 1013.4626	val_loss: 1064.1735
41:	train_loss: 996.1483	val_loss: 1174.4678
42:	train_loss: 988.5368	val_loss: 1158.1083
43:	train_loss: 984.2041	val_loss: 1166.4106
44:	train_loss: 942.8088	val_loss: 1013.5955
45:	train_loss: 934.1633	val_loss: 1027.0296
46:	train_loss: 931.5692	val_loss: 1076.9925
47:	train_loss: 925.7491	val_loss: 1059.6587
48:	train_loss: 916.4122	val_loss: 1010.1391
49:	train_loss: 911.1715	val_loss: 990.8918
