1:	train_loss: 5334.0347	val_loss: 5028.9103
2:	train_loss: 4814.4085	val_loss: 4757.3203
3:	train_loss: 4619.1924	val_loss: 4654.3562
4:	train_loss: 4501.7990	val_loss: 4532.6236
5:	train_loss: 4409.8133	val_loss: 4455.6810
6:	train_loss: 4327.9100	val_loss: 4373.6565
7:	train_loss: 4264.8095	val_loss: 4540.4958
8:	train_loss: 4210.3045	val_loss: 4278.0687
9:	train_loss: 4163.9214	val_loss: 4300.3324
10:	train_loss: 4131.3173	val_loss: 4227.2471
11:	train_loss: 4091.5238	val_loss: 4592.1425
12:	train_loss: 4053.1522	val_loss: 4095.0597
13:	train_loss: 4018.7858	val_loss: 4261.3095
14:	train_loss: 3999.5691	val_loss: 4371.3757
15:	train_loss: 3971.9966	val_loss: 4113.7756
16:	train_loss: 3883.6483	val_loss: 4033.7693
17:	train_loss: 3870.7833	val_loss: 3997.3572
18:	train_loss: 3863.0654	val_loss: 3974.1393
19:	train_loss: 3854.8469	val_loss: 4001.2826
20:	train_loss: 3847.0579	val_loss: 3951.4729
21:	train_loss: 3839.1499	val_loss: 3963.0206
22:	train_loss: 3836.6270	val_loss: 3943.6860
23:	train_loss: 3830.2136	val_loss: 3951.9702
24:	train_loss: 3822.6716	val_loss: 3963.9246
25:	train_loss: 3815.4741	val_loss: 3928.4300
26:	train_loss: 3807.8750	val_loss: 3921.0132
27:	train_loss: 3804.5985	val_loss: 3905.0081
28:	train_loss: 3797.5465	val_loss: 3899.2215
29:	train_loss: 3794.6999	val_loss: 3940.2765
30:	train_loss: 3790.2903	val_loss: 4010.6779
31:	train_loss: 3782.4306	val_loss: 4077.7581
32:	train_loss: 3752.6721	val_loss: 3875.5495
33:	train_loss: 3748.1820	val_loss: 3880.2237
34:	train_loss: 3744.0455	val_loss: 3864.5173
35:	train_loss: 3742.8297	val_loss: 3887.5823
36:	train_loss: 3740.7880	val_loss: 3870.5327
37:	train_loss: 3740.5995	val_loss: 3870.6095
38:	train_loss: 3727.9273	val_loss: 3859.2482
39:	train_loss: 3728.1654	val_loss: 3860.6489
40:	train_loss: 3727.6508	val_loss: 3855.4547
41:	train_loss: 3727.7908	val_loss: 3858.4463
42:	train_loss: 3721.9804	val_loss: 3859.4923
43:	train_loss: 3725.1295	val_loss: 3853.6019
44:	train_loss: 3719.3481	val_loss: 3857.8485
45:	train_loss: 3723.2103	val_loss: 3857.0457
46:	train_loss: 3722.3791	val_loss: 3855.1313
47:	train_loss: 3720.7885	val_loss: 3851.4495
48:	train_loss: 3720.5215	val_loss: 3848.9666
49:	train_loss: 3722.4371	val_loss: 3852.5141
50:	train_loss: 3719.2121	val_loss: 3854.3807
51:	train_loss: 3723.5286	val_loss: 3850.5760
52:	train_loss: 3723.7949	val_loss: 3853.4828
53:	train_loss: 3721.1191	val_loss: 3857.4019
54:	train_loss: 3719.4928	val_loss: 3852.8209
55:	train_loss: 3720.1348	val_loss: 3854.0212
56:	train_loss: 3721.1635	val_loss: 3853.3734
57:	train_loss: 3721.1707	val_loss: 3859.4743
58:	train_loss: 3719.0358	val_loss: 3859.8346
59:	train_loss: 3719.0168	val_loss: 3851.9437
