1:	train_loss: 2521.0252	val_loss: 2318.3295
2:	train_loss: 2077.1354	val_loss: 2104.1967
3:	train_loss: 1931.8853	val_loss: 2009.2938
4:	train_loss: 1839.1483	val_loss: 1980.3393
5:	train_loss: 1768.5974	val_loss: 1864.6167
6:	train_loss: 1714.1880	val_loss: 1872.0935
7:	train_loss: 1670.3395	val_loss: 1821.0028
8:	train_loss: 1639.0976	val_loss: 1870.6024
9:	train_loss: 1605.0416	val_loss: 1798.8620
10:	train_loss: 1575.3196	val_loss: 1710.1184
11:	train_loss: 1552.8547	val_loss: 1722.9806
12:	train_loss: 1530.9717	val_loss: 1692.2929
13:	train_loss: 1513.7644	val_loss: 1643.1231
14:	train_loss: 1495.7833	val_loss: 1638.1919
15:	train_loss: 1478.8650	val_loss: 1710.5252
16:	train_loss: 1464.5949	val_loss: 1602.4681
17:	train_loss: 1448.4158	val_loss: 1678.8669
18:	train_loss: 1437.0401	val_loss: 1600.0784
19:	train_loss: 1430.6894	val_loss: 1577.8747
20:	train_loss: 1414.5303	val_loss: 1575.9904
21:	train_loss: 1405.3633	val_loss: 1561.4028
22:	train_loss: 1396.7265	val_loss: 1567.0422
23:	train_loss: 1387.7893	val_loss: 1588.0282
24:	train_loss: 1379.1485	val_loss: 1572.8245
25:	train_loss: 1336.1445	val_loss: 1496.0545
26:	train_loss: 1329.9902	val_loss: 1482.0103
27:	train_loss: 1326.5350	val_loss: 1498.0255
28:	train_loss: 1324.1720	val_loss: 1478.8333
29:	train_loss: 1320.9801	val_loss: 1484.2669
30:	train_loss: 1317.7686	val_loss: 1459.3611
31:	train_loss: 1314.9497	val_loss: 1488.2317
32:	train_loss: 1312.8006	val_loss: 1487.1911
33:	train_loss: 1310.9983	val_loss: 1455.2032
34:	train_loss: 1308.3250	val_loss: 1470.2782
35:	train_loss: 1307.5658	val_loss: 1459.4126
36:	train_loss: 1303.6428	val_loss: 1449.9966
37:	train_loss: 1302.1522	val_loss: 1451.7110
38:	train_loss: 1301.6417	val_loss: 1448.3687
39:	train_loss: 1297.1694	val_loss: 1470.3203
40:	train_loss: 1295.5496	val_loss: 1453.1458
41:	train_loss: 1294.4700	val_loss: 1453.7056
42:	train_loss: 1278.4402	val_loss: 1436.4814
43:	train_loss: 1277.0823	val_loss: 1430.0854
44:	train_loss: 1275.7848	val_loss: 1433.8114
45:	train_loss: 1275.3435	val_loss: 1433.7627
46:	train_loss: 1273.9935	val_loss: 1429.9666
47:	train_loss: 1268.6214	val_loss: 1429.9087
48:	train_loss: 1268.7090	val_loss: 1428.7878
49:	train_loss: 1268.0084	val_loss: 1428.8381
50:	train_loss: 1268.2043	val_loss: 1429.2561
51:	train_loss: 1266.2930	val_loss: 1426.0928
52:	train_loss: 1266.5186	val_loss: 1427.2411
53:	train_loss: 1266.2580	val_loss: 1426.1930
54:	train_loss: 1265.7801	val_loss: 1426.3834
55:	train_loss: 1264.5213	val_loss: 1429.6528
56:	train_loss: 1265.0955	val_loss: 1429.4982
57:	train_loss: 1264.3965	val_loss: 1427.9745
58:	train_loss: 1265.7578	val_loss: 1427.0333
59:	train_loss: 1264.7991	val_loss: 1427.6320
60:	train_loss: 1265.0098	val_loss: 1428.2648
61:	train_loss: 1265.2972	val_loss: 1428.6582
