1:	train_loss: 37571.8209	val_loss: 5898.5370
2:	train_loss: 4275.9703	val_loss: 3374.9979
3:	train_loss: 2883.2170	val_loss: 2540.7081
4:	train_loss: 2328.1655	val_loss: 2127.5387
5:	train_loss: 2024.2914	val_loss: 1889.4146
6:	train_loss: 1822.0892	val_loss: 1723.7312
7:	train_loss: 1676.3225	val_loss: 1626.2163
8:	train_loss: 1571.2009	val_loss: 1538.8824
9:	train_loss: 1476.0964	val_loss: 1448.7311
10:	train_loss: 1395.8326	val_loss: 1387.8444
11:	train_loss: 1333.5904	val_loss: 1342.7423
12:	train_loss: 1291.0379	val_loss: 1309.9380
13:	train_loss: 1247.9798	val_loss: 1325.6986
14:	train_loss: 1199.8923	val_loss: 1247.8419
15:	train_loss: 1164.9352	val_loss: 1218.2464
16:	train_loss: 1130.6551	val_loss: 1157.0084
17:	train_loss: 1097.9628	val_loss: 1243.8314
18:	train_loss: 1069.4863	val_loss: 1338.4027
19:	train_loss: 1042.8633	val_loss: 1118.9887
20:	train_loss: 1027.9052	val_loss: 1063.7016
21:	train_loss: 997.9468	val_loss: 1053.4994
22:	train_loss: 978.3630	val_loss: 1038.8322
23:	train_loss: 964.9308	val_loss: 1056.5837
24:	train_loss: 942.5306	val_loss: 1031.2365
25:	train_loss: 929.7964	val_loss: 1004.5200
26:	train_loss: 906.4448	val_loss: 979.2188
27:	train_loss: 898.9311	val_loss: 1017.5055
28:	train_loss: 879.1635	val_loss: 964.2109
29:	train_loss: 867.3573	val_loss: 1030.8999
30:	train_loss: 857.2740	val_loss: 959.5443
31:	train_loss: 849.1095	val_loss: 913.8979
32:	train_loss: 832.2212	val_loss: 893.4100
33:	train_loss: 830.9625	val_loss: 915.7458
34:	train_loss: 812.7899	val_loss: 955.8427
35:	train_loss: 805.5127	val_loss: 1006.1032
36:	train_loss: 771.4409	val_loss: 889.3900
37:	train_loss: 766.8863	val_loss: 861.9324
38:	train_loss: 763.9378	val_loss: 865.0185
39:	train_loss: 757.2081	val_loss: 871.6290
40:	train_loss: 758.7033	val_loss: 853.5244
41:	train_loss: 752.8899	val_loss: 847.7808
42:	train_loss: 752.7815	val_loss: 839.3998
43:	train_loss: 748.0009	val_loss: 864.4179
44:	train_loss: 742.1776	val_loss: 832.7989
45:	train_loss: 740.5789	val_loss: 864.3498
46:	train_loss: 737.8423	val_loss: 810.5857
47:	train_loss: 733.3157	val_loss: 827.6967
48:	train_loss: 730.7680	val_loss: 867.6626
49:	train_loss: 727.9900	val_loss: 844.8492
