1:	train_loss: 5033.6311	val_loss: 4775.5882
2:	train_loss: 4463.6077	val_loss: 4441.8972
3:	train_loss: 4246.1799	val_loss: 4250.4456
4:	train_loss: 4100.1507	val_loss: 4241.3293
5:	train_loss: 4002.0318	val_loss: 4070.9452
6:	train_loss: 3917.3887	val_loss: 4094.8197
7:	train_loss: 3840.7404	val_loss: 3879.3502
8:	train_loss: 3777.8338	val_loss: 4372.8685
9:	train_loss: 3726.1609	val_loss: 3942.4003
10:	train_loss: 3677.3721	val_loss: 3797.8556
11:	train_loss: 3640.1839	val_loss: 3870.3552
12:	train_loss: 3604.5461	val_loss: 3742.7561
13:	train_loss: 3570.7518	val_loss: 3831.2627
14:	train_loss: 3528.7589	val_loss: 3815.5495
15:	train_loss: 3511.6494	val_loss: 3646.4676
16:	train_loss: 3483.8895	val_loss: 3571.2679
17:	train_loss: 3452.8283	val_loss: 3571.4688
18:	train_loss: 3434.5381	val_loss: 3641.5670
19:	train_loss: 3415.8292	val_loss: 3564.0010
20:	train_loss: 3390.1093	val_loss: 3478.1205
21:	train_loss: 3375.3524	val_loss: 3649.9748
22:	train_loss: 3365.8869	val_loss: 3502.4394
23:	train_loss: 3332.0000	val_loss: 3652.2610
24:	train_loss: 3257.4483	val_loss: 3383.8471
25:	train_loss: 3248.2800	val_loss: 3392.9531
26:	train_loss: 3238.9913	val_loss: 3383.0918
27:	train_loss: 3233.0969	val_loss: 3358.0371
28:	train_loss: 3230.4106	val_loss: 3356.1239
29:	train_loss: 3226.1052	val_loss: 3361.0382
30:	train_loss: 3216.2143	val_loss: 3366.6825
31:	train_loss: 3189.3209	val_loss: 3329.7009
32:	train_loss: 3187.1189	val_loss: 3326.1911
33:	train_loss: 3182.0757	val_loss: 3332.3439
34:	train_loss: 3184.8336	val_loss: 3320.2057
35:	train_loss: 3179.3006	val_loss: 3329.2394
36:	train_loss: 3179.4614	val_loss: 3322.2919
37:	train_loss: 3175.4201	val_loss: 3330.9786
38:	train_loss: 3167.3255	val_loss: 3319.2523
39:	train_loss: 3163.7895	val_loss: 3320.1538
40:	train_loss: 3165.6625	val_loss: 3318.0032
41:	train_loss: 3163.3390	val_loss: 3324.1279
42:	train_loss: 3162.2287	val_loss: 3314.9831
43:	train_loss: 3160.0523	val_loss: 3321.1194
44:	train_loss: 3159.7115	val_loss: 3315.3337
45:	train_loss: 3160.3599	val_loss: 3311.0521
46:	train_loss: 3160.7147	val_loss: 3313.9551
47:	train_loss: 3161.1145	val_loss: 3311.7960
48:	train_loss: 3161.4219	val_loss: 3322.6081
49:	train_loss: 3159.2320	val_loss: 3317.5423
50:	train_loss: 3159.3829	val_loss: 3316.3754
51:	train_loss: 3160.3102	val_loss: 3311.8495
52:	train_loss: 3158.9694	val_loss: 3314.4813
53:	train_loss: 3155.9817	val_loss: 3315.5394
54:	train_loss: 3157.8092	val_loss: 3314.1241
55:	train_loss: 3159.3458	val_loss: 3314.8541
56:	train_loss: 3159.7018	val_loss: 3315.8668
57:	train_loss: 3157.7376	val_loss: 3314.6191
58:	train_loss: 3157.2773	val_loss: 3314.2621
59:	train_loss: 3156.5801	val_loss: 3317.8220
