1:	train_loss: 0.7084	val_loss: 0.6947
2:	train_loss: 0.6913	val_loss: 0.6895
3:	train_loss: 0.6883	val_loss: 0.6885
4:	train_loss: 0.6867	val_loss: 0.6887
5:	train_loss: 0.6852	val_loss: 0.6854
6:	train_loss: 0.6842	val_loss: 0.6844
7:	train_loss: 0.6831	val_loss: 0.6839
8:	train_loss: 0.6821	val_loss: 0.6828
9:	train_loss: 0.6812	val_loss: 0.6827
10:	train_loss: 0.6805	val_loss: 0.6813
11:	train_loss: 0.6799	val_loss: 0.6797
12:	train_loss: 0.6791	val_loss: 0.6795
13:	train_loss: 0.6784	val_loss: 0.6794
14:	train_loss: 0.6779	val_loss: 0.6788
15:	train_loss: 0.6775	val_loss: 0.6793
16:	train_loss: 0.6769	val_loss: 0.6783
17:	train_loss: 0.6767	val_loss: 0.6770
18:	train_loss: 0.6763	val_loss: 0.6771
19:	train_loss: 0.6760	val_loss: 0.6781
20:	train_loss: 0.6758	val_loss: 0.6777
21:	train_loss: 0.6745	val_loss: 0.6758
22:	train_loss: 0.6743	val_loss: 0.6755
23:	train_loss: 0.6742	val_loss: 0.6753
24:	train_loss: 0.6741	val_loss: 0.6752
25:	train_loss: 0.6736	val_loss: 0.6749
26:	train_loss: 0.6736	val_loss: 0.6749
27:	train_loss: 0.6735	val_loss: 0.6749
28:	train_loss: 0.6735	val_loss: 0.6749
29:	train_loss: 0.6733	val_loss: 0.6747
30:	train_loss: 0.6733	val_loss: 0.6747
31:	train_loss: 0.6733	val_loss: 0.6747
32:	train_loss: 0.6732	val_loss: 0.6747
33:	train_loss: 0.6732	val_loss: 0.6747
34:	train_loss: 0.6732	val_loss: 0.6747
35:	train_loss: 0.6732	val_loss: 0.6747
36:	train_loss: 0.6732	val_loss: 0.6747
37:	train_loss: 0.6732	val_loss: 0.6747
38:	train_loss: 0.6732	val_loss: 0.6746
39:	train_loss: 0.6732	val_loss: 0.6747
40:	train_loss: 0.6732	val_loss: 0.6747
41:	train_loss: 0.6732	val_loss: 0.6747
42:	train_loss: 0.6732	val_loss: 0.6746
43:	train_loss: 0.6732	val_loss: 0.6747
44:	train_loss: 0.6732	val_loss: 0.6747
45:	train_loss: 0.6732	val_loss: 0.6747
46:	train_loss: 0.6732	val_loss: 0.6746
47:	train_loss: 0.6732	val_loss: 0.6747
48:	train_loss: 0.6732	val_loss: 0.6747
49:	train_loss: 0.6732	val_loss: 0.6747
